Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation
14,0,0,-2,-39,0,-1400,-5400,0,42.154477816716,5540.28203253228,5582.0601931545,0.0381972583264758,0.0376472329321433,12.7124634529717,17.9867934541046,0.918390293029899,67.6937949450924,0,69,-0.5
14,0,0,-2,-38,0,-1400,-5400,0,41.2310562561766,5541.24967854725,5582.0601931545,0.0415595354488972,0.0410936012234063,13.1306972338237,19.5699214293832,0.601762728356236,67.1663458220824,0,67,-0.5
14,0,0,-2,-37,0,-1400,-5400,0,40.3112887414927,5542.21733604881,5582.0601931545,0.0459507993502593,0.045572089440104,14.2175143571786,20.1160867455201,0.309660817440624,66.6147789427862,0,65.5,0
14,0,0,-2,-36,0,-1400,-5400,0,39.3954312071844,5543.18500503095,5582.0601931545,0.0493888564670615,0.0490042267667703,14.8767284285814,21.2394495384446,0.822913604049494,66.0375110254218,0,67,-0.5
14,0,0,-2,-35,0,-1400,-5400,0,38.4837628097877,5544.15268548766,5582.0601931545,0.0544988355653442,0.054081979032241,15.7108437561315,21.1201396967902,0.713103144611477,65.4328286793987,0,66,-0.5
14,0,0,-2,-34,0,-1400,-5400,0,37.5765884561119,5545.12037741292,5582.0601931545,0.0605195804837149,0.060264502667011,16.5127958836231,22.7542871561606,0.333645457076411,64.7988763545249,0,66,0
14,0,0,-2,-33,0,-1400,-5400,0,36.6742416417845,5546.08808080074,5582.0601931545,0.0665284585546062,0.0662491338166632,17.0605420921447,23.6495952136057,0.240654665026254,64.1336432059055,0,65,0
14,0,0,-2,-32,0,-1400,-5400,0,35.7770876399966,5547.05579564511,5582.0601931545,0.0736527582470435,0.073395295815647,18.6679731217279,24.5456500866723,0.120819117478336,63.434948822922,0,63,0
14,0,0,-2,-31,0,-1400,-5400,0,34.8855270850248,5548.02352194004,5582.0601931545,0.0814257694509303,0.0812121573440405,19.3108611632615,25.3317877144133,0.0556743857408885,62.7004277886672,0,62.5,0
14,0,0,-2,-30,0,-1400,-5400,0,34,5548.99125967955,5582.0601931545,0.0907289845762091,0.0905339206498602,20.1207351876469,25.806274065979,0.57569081551471,61.927513064147,0,62,-0.5
14,0,0,-2,-29,0,-1400,-5400,0,33.1209903233584,5549.95900885763,5582.0601931545,0.100893654279488,0.100716321217888,20.7073347211604,26.8441356543335,0.0315050647470273,61.1134182330893,0,61,0
14,0,0,-2,-28,0,-1400,-5400,0,32.2490309931942,5550.92676946832,5582.0601931545,0.112842386045291,0.112649953364241,21.8764475761914,28.326348936016,0.0680225824839494,60.2551187030578,0,60.5,0
14,0,0,-2,-27,0,-1400,-5400,0,31.3847096529504,5551.89454150563,5582.0601931545,0.126029420739665,0.125884745938437,23.3605271429331,29.575006989747,0.0418522102924632,59.3493320429471,0,59.5,0
14,0,0,-2,-26,0,-1400,-5400,0,30.5286750449475,5552.86232496359,5582.0601931545,0.141007049010022,0.140859111829759,23.7801595096709,29.7594013940605,0.0298617350691386,58.3924977537511,0,58.5,0
14,0,0,-2,-25,0,-1400,-5400,0,29.6816441593117,5553.83011983622,5582.0601931545,0.158761790762856,0.158636725005361,25.0983842478505,30.642063197614,0.0331230753313408,57.3807569288072,0,57.5,0
14,0,0,-2,-24,0,-1400,-5400,0,28.8444102037119,5554.79792611757,5582.0601931545,0.178465920640671,0.178365264411702,25.9444644310514,31.1122158881323,0.0527965349943847,56.3099324740202,0,56.5,0
14,0,0,-2,-23,0,-1400,-5400,0,28.0178514522438,5555.76574380166,5582.0601931545,0.201730588827132,0.201653382643062,27.2142316088385,33.2944482412106,0.0487530119564461,55.1755108430432,0,55,0
